Participant #,Time,Group,FACES 1,FACES 2,FACES 3,FACES 4,FACES 5,FACES 6,FACES 7,AKS1,AKS2,AKS3,AKS4,AKS5,AKS6,AKS7,AKS8,AKS9,AKS10,AKS11,AKS12,AKS13,AKS14,AKS15,AKS16,AKS17,AKS18,AKS19,AKS20,AKS21,FES1,FES2,FES3,FES4,FES5,FES6,FES7,FES8,FES9,FES10,FES11,FES12,FES13,FES14,FES15,FES16,FES17,FES18,FES19,FES20,FES21,FES22,FES23,FES24,FES25,FES26,FES27,FES28,FES29,FES30,FES31,FES32,FES33,FES34,SCS1,SCS2,SCS3,SCS4,SCS5,SCS6,SCS7,FPPS1,FPPS2,FPPS3,FPPS4,FPPS5,FPPS6,FPPS7,FPPS8,FPPS9,FPPS10,FPPS11,FPPS12,FPPS13,FPPS14,FPPS15,FPPS16,FPPS17,FPPS18,SEAS1,SEAS2,SEAS3,SEAS4,SEAS5,SEAS6,SEAS7,SEAS8,SEAS9,SEAS10
1,Pre,Experimental,2,5,5,5,5,2,5,3,1,1,5,1,4,1,5,4,1,3,2,5,1,1,1,5,4,1,1,3,5,5,3,3,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,4,4,1,5,2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,5,5,5,5
2,Pre,Experimental,2,4,4,3,3,4,3,2,1,1,5,1,3,1,5,1,1,1,5,3,1,3,1,3,1,1,2,5,5,4,4,4,4,4,4,1,1,4,4,5,5,4,3,4,5,5,4,4,4,1,3,3,4,2,4,4,4,4,4,5,3,3,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,4,4,4,4,4
3,Pre,Experimental,1,5,5,3,2,2,5,5,1,1,5,1,3,3,5,1,1,1,5,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,1,5,1,3,3,4,5,5,5,5,3,4,5,3,5,4,4,3,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,5,5,5,4,5,5,5
4,Pre,Experimental,1,5,4,4,4,3,5,3,1,1,1,1,4,1,5,1,1,1,3,4,1,3,2,1,1,1,4,1,5,3,4,5,3,5,4,1,4,1,5,5,5,3,1,3,5,5,5,5,5,2,4,3,5,3,4,5,5,5,5,3,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,4,5,5,5,5,5,5
5,Pre,Experimental,2,3,4,2,2,3,2,5,3,2,3,1,4,3,5,1,1,1,4,3,3,,3,2,1,3,3,3,4,3,3,3,2,2,3,1,2,2,2,3,2,3,1,2,3,3,3,3,2,2,1,3,3,1,3,3,3,3,3,4,3,3,2,2,2,2,4,3,2,4,2,3,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,2,2,2,2,2,2,2,3,3,2
6,Pre,Experimental,4,4,5,4,4,4,4,5,2,1,5,1,5,3,4,1,3,1,2,2,1,4,2,3,3,4,4,3,5,4,5,5,3,4,3,1,4,2,3,4,5,3,3,5,5,5,5,3,4,3,3,3,5,3,5,5,5,3,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
8,Pre,Experimental,4,5,5,4,4,2,5,5,2,1,5,1,1,1,3,3,2,3,4,4,1,5,1,5,2,1,2,3,5,4,5,5,5,5,5,4,5,3,5,5,5,5,3,5,5,5,5,4,3,4,5,4,5,5,4,5,5,4,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,,5,,,,
9,Pre,Experimental,5,2,2,4,3,5,5,5,2,2,5,1,3,1,5,5,1,1,5,5,1,3,3,5,1,1,5,3,5,5,5,5,4,5,4,3,5,3,5,5,5,3,3,3,5,5,5,5,3,3,3,4,4,5,5,5,5,4,5,5,5,5,4,3,4,4,4,1,3,4,4,4,4,5,4,5,5,4,4,4,4,5,5,5,4,4,4,2,2,2,2,4,5,4,4,5,5
11,Pre,Experimental,3,4,4,4,4,4,5,4,2,1,5,1,3,3,4,1,2,1,4,3,1,4,3,4,2,1,4,1,4,3,4,4,3,4,3,1,4,3,3,4,3,3,3,3,5,4,3,1,3,2,3,3,5,4,4,4,4,4,3,3,4,5,2,2,3,4,4,1,2,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,5,4,5,5,4,4
12,Pre,Experimental,1,5,5,4,3,3,5,5,4,1,4,1,4,1,4,1,1,2,1,5,2,3,1,4,1,3,5,4,3,5,5,5,4,5,5,1,5,1,4,4,5,1,3,4,5,5,5,1,4,1,3,3,5,5,5,5,5,4,5,4,4,5,3,4,5,5,5,4,5,3,4,4,3,4,3,4,3,3,3,5,4,5,3,4,3,3,4,1,1,3,3,4,4,5,4,3,3
13,Pre,Control,4,5,5,5,5,4,5,5,1,1,4,1,3,1,4,1,1,1,4,4,3,3,1,1,3,2,4,4,5,4,5,5,4,5,4,4,4,4,4,4,5,3,4,4,5,5,5,4,4,3,4,4,5,4,5,5,5,4,4,5,4,5,3,3,3,4,5,3,3,3,4,3,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,5,5,4,4,5
14,Pre,Control,4,5,5,5,5,4,5,5,1,1,5,1,4,1,5,1,1,1,4,5,4,1,3,4,1,1,3,4,5,5,5,5,5,5,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,5,3,5,2,3,2,1,1,2,2,2,2,1,1,1,2,5,4,2,2,1,1,3,4,3,5,5,5,5,5,2,5,5
15,Pre,Control,1,2,3,3,3,3,4,3,1,1,4,2,4,2,4,2,3,2,4,4,3,3,3,1,3,3,3,4,5,4,4,4,1,2,2,1,4,1,3,3,4,4,1,4,4,4,3,1,4,1,4,1,3,3,4,4,4,3,4,3,3,5,3,2,2,2,5,1,4,2,2,2,2,2,4,4,3,4,4,4,4,4,4,4,3,4,4,2,1,2,2,3,3,4,3,2,2
17,Pre,Control,2,4,2,4,4,4,4,5,4,1,4,1,2,2,4,1,1,1,4,4,1,3,1,4,4,4,4,4,5,5,5,5,3,4,3,1,3,1,2,4,2,1,2,3,4,5,4,2,3,1,3,3,4,4,3,3,3,2,2,3,4,4,2,3,2,2,4,1,4,2,4,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,1,2,3,4,4,4,4,4,4
18,Pre,Control,1,2,2,3,3,3,2,5,1,1,5,1,3,4,4,1,3,1,4,3,3,3,2,3,2,3,4,3,4,3,5,3,2,2,2,1,1,1,3,3,3,1,3,3,3,5,2,1,3,1,3,1,5,2,3,3,,,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,4,4,5,4
